source	cite	column	line	tier	corpus_lines
page-027-L:22	πιγ6. 908 b8	908b	8	no-corpus	
page-027-L:23	πλ1. 953 b37	953b	37	no-corpus	
page-027-L:24	πδ22. 879 a11	879a	11	no-corpus	
page-027-L:24	κζ7. 948 b10	948b	10	no-corpus	
page-027-L:25	11. 949 a9	949a	9	no-corpus	
page-027-L:26	πδ20. 879 a3	879a	3	no-corpus	
page-027-L:29	γ1. 509 a35	509a	35	seam	
page-027-L:39	πδ11. 877 b17	877b	17	no-corpus	
page-027-L:53	498. 1559 a26	1559a	26	no-corpus	
page-027-L:55	ημα30. 1193 a1	1193a	1	no-corpus	
page-027-L:56	πια53. 905 a6	905a	6	no-corpus	
page-027-L:61	Ρβ6. 1384 a36	1384a	36	tail	1-35
page-027-R:1	957 b11	957b	11	no-corpus	
page-027-R:1	λβ8. 961 a10	961a	10	no-corpus	
page-027-R:1	91. 1492 a36	1492a	36	no-corpus	
page-027-R:3	596. 1577 a4	1577a	4	no-corpus	
page-027-R:8	κ7. 401 a17	401a	17	seam	
page-027-R:10	Οβ13. 294 a26	294a	26	seam	
page-027-R:19	236. 1520 b32	1520b	32	no-corpus	
page-027-R:23	πι66. 898 b12	898b	12	no-corpus	
page-027-R:23	ιδ4. 909 a27	909a	27	no-corpus	
page-027-R:25	Ζιγ22. 523 a18	523a	18	seam	
page-027-R:27	φτα4. 820 a4	820a	4	no-corpus	
page-027-R:31	πκε7. 938 b5	938b	5	no-corpus	
page-027-R:34	πκε18. 939 b15	939b	15	no-corpus	
page-027-R:36	8. 941 a4	941a	4	no-corpus	
page-027-R:39	20. 942 a34	942a	34	no-corpus	
page-027-R:39	27. 943 a13	943a	13	no-corpus	
page-027-R:40	πκε21. 939 b33	939b	33	no-corpus	
page-027-R:41	κ7. 401 a17	401a	17	seam	
page-028-L:9	δ4. 678 a9	678a	9	seam	
page-028-L:28	υ3. 485 a15	485a	15	no-corpus	
page-028-L:31	πδ26. 879 b5	879b	5	no-corpus	
page-028-L:34	πν6. 484 a34	484a	34	no-corpus	
page-028-L:40	πν5. 483 b19	483b	19	no-corpus	
page-028-L:40	484 a10	484a	10	no-corpus	
page-028-L:45	Ζμγ5. 668 b8	668b	8	seam	
page-028-L:53	πη1. 887 b10	887b	10	no-corpus	
page-028-R:5	Ζμδ4. 678 a7	678a	7	seam	
page-028-R:5	πβ3. 866 b21	866b	21	no-corpus	
page-028-R:6	πν6. 484 a15	484a	15	no-corpus	
page-028-R:10	δ5. 678 a31	678a	31	seam	
page-028-R:12	δ4. 678 a9	678a	9	seam	
page-028-R:14	ζ3. 469 a1	469a	1	seam	
page-028-R:14	πν1. 481 a11	481a	11	no-corpus	
page-028-R:21	φτβ3. 824 b18	824b	18	no-corpus	
page-028-R:23	Ζμδ2. 677 a26	677a	26	seam	
page-028-R:28	πλη9. 967 b15	967b	15	no-corpus	
page-028-R:33	πλη9. 967 b15	967b	15	no-corpus	
page-028-R:41	Ζμδ2. 677 a28	677a	28	seam	
page-028-R:42	πι2. 891a16	891a	16	no-corpus	
page-028-R:43	θ5. 890 a11	890a	11	no-corpus	
page-028-R:44	Ζμγ5. 668 b16	668b	16	seam	
page-028-R:46	πι2. 891 a13	891a	13	no-corpus	
page-028-R:53	Ζιη11. 588a1	588a	1	seam	
page-028-R:54	πθ3. 889 b30	889b	30	no-corpus	
page-028-R:57	πν5. 484 a11	484a	11	no-corpus	
page-029-L:3	Ζμδ5. 678 a31	678a	31	seam	
page-029-L:7	πλη9. 967 b17	967b	17	no-corpus	
page-029-L:43	Ζμγ5. 668 b6	668b	6	seam	
page-029-L:43	Ζμδ3. 677 b25	677b	25	seam	
page-029-L:44	Ζμδ3. 677 b28	677b	28	seam	
page-029-L:48	γ7. 670 b6	670b	6	seam	
page-029-L:60	Ζμγ5. 668 b18	668b	18	seam	
page-029-R:11	πα38. 863b11	863b	11	no-corpus	
page-029-R:11	ζ9. 887b1	887b	1	no-corpus	
page-029-R:12	πζ5. 886b12	886b	12	no-corpus	
page-029-R:16	597. 1577b5	1577b	5	no-corpus	
page-029-R:17	623. 1583a14	1583a	14	no-corpus	
page-029-R:24	66. 1487a17	1487a	17	no-corpus	
page-029-R:26	ρ36. 1441b22	1441b	22	no-corpus	
page-029-R:30	108. 1495b20	1495b	20	no-corpus	
page-029-R:31	66. 1487a26	1487a	26	no-corpus	
page-029-R:35	14. 674b8	674b	8	seam	
page-029-R:37	πι7. 891b15	891b	15	no-corpus	
page-029-R:39	Ζμγ14. 674b8	674b	8	seam	
page-029-R:47	πι6. 891b4	891b	4	no-corpus	
page-029-R:49	πι6. 891 b9	891b	9	no-corpus	
page-029-R:50	Ζικ7. 638a9	638a	9	no-corpus	
page-030-L:20	64. 1532 a41	1532a	41	no-corpus	
page-030-L:30	66. 1487 a8	1487a	8	no-corpus	
page-030-L:33	13. 941 b24	941b	24	no-corpus	
page-030-L:35	591. 1574 a18	1574a	18	no-corpus	
page-030-L:38	πε41. 885 b7	885b	7	no-corpus	
page-030-L:41	πια28. 902 b2	902b	2	no-corpus	
page-030-L:44	21. 942 b11	942b	11	no-corpus	
page-030-L:46	πιε9. 912 a35	912a	35	no-corpus	
page-030-L:46	κε7. 938 b9	938b	9	no-corpus	
page-030-L:46	34. 944 a25	944a	25	no-corpus	
page-030-L:47	πδ13. 878 a15	878a	15	no-corpus	
page-030-L:50	Ζικ3. 636 a22	636a	22	no-corpus	
page-030-L:54	πιθ36. 920 b11	920b	11	no-corpus	
page-030-L:55	ρ37. 1444 b12	1444b	12	no-corpus	
page-030-R:40	381. 1541b9	1541b	9	no-corpus	
page-030-R:41	383. 1541b35	1541b	35	no-corpus	
page-030-R:41	1542a2	1542a	2	no-corpus	
page-030-R:45	ημα35. 1197a2	1197a	2	no-corpus	
page-030-R:45	β3. 1199a5	1199a	5	no-corpus	
